Pollutant,Model,MAE,RMSE,R2
AQI,Linear Regression,81.53224273853529,104.6692879006395,0.02688869480055689
AQI,Random Forest,1.9116666666666686,3.4412948144557447,0.9989481162666466
AQI,XGBoost,1.5621784925460815,4.691159663521106,0.9980452656745911
