,MAE,RMSE,R2
Linear Regression,16.20253628227121,21.12033355380378,0.7063696336846786
Random Forest,13.992333333333333,21.10157340105235,0.7068910368171961
XGBoost,16.0148201306661,24.76047934653344,0.5964312611838616
