Model,MAE,RMSE,R2
Linear Regression,83.50884285945021,104.51833221502253,-0.0052904035960378735
Random Forest,4.115799999999998,8.988703764174396,0.990891566599502
XGBoost,2.773136591911316,8.341424465179443,0.9922596335411071
